"","cocktails_name","ingredient_1","ingredient_2","ingredient_3","ingredient_4","ingredient_5","ingredient_6","ingredient_7","ingredient_8","ingredient_9","ingredient_10","ingredient_11","ingredient_12","abv","volume(ml)"
"1","“Blue Dog” Zombie","Plantation Overproof Rum:12.5","Goslings Bermudan Dark Rum:12.5","Chairman's Reserve Spiced Rum:12.5","Chairmans Reserve White Rum:12.5","Gabriel Boudier Apricot Brandy:12.5","Gomme Syrup:12.5","Lime Juice:25.0","Orange Juice:25.0","25 Pineapple Juice","1 Passion Fruit","","",21.4,125
"2","20th  Century","Gin:37.5","Lillet Blanc:20.0","Crème de Cacao:20.0","Fresh Lemon Juice:20.0","","","","","","","","",23.6,98
"3","50 – 50","Gin:50.0","Dry Vermouth:50.0","1 Olive","","","","","","","","","",39.6,100
"4","Abaci Batida","Cachaca:50.0","Pineapple Juice:75.0","Lemon Juice:12.5","Sugar Syrup:5.0","","","","","","","","",16.7,142
"5","Abbey Cocktail","Gin:50.0","Orange Juice:37.5","Orange Bitters:2.0(dash)","Maraschino Cherry","","","","","","","","",22.3,89
"7","Adios M.F","Vodka:12.5","Tequila:12.5","Gin:12.5","Rum:12.5","Blue Curacao:12.5","","","","","","","",39.4,62
"8","Admiral Benbow","Plymouth Gin:50.0","Dry Vermouth:25.0","Lime Juice:12.5","Maraschino Cherry","","","","","","","","",34.6,88
"9","Admiral Perry","Pear Vodka:50.0","Cinnamon Schnapps:25.0","Dry Vermouth:25.0","White Crème de Cacao:5.0","Pear Slice","","","","","","","",39.7,105
"10","Adonis","Dry Sherry:25.0","Sweet Vermouth:12.5","Dry Vermouth:12.5","Orange Bitters:2.0(dash)","","","","","","","","",22.6,52
"11","Adult Hot Chocolate","Peppermint Schnapps:50.0","Hot Chocolate","Whipped Cream","Chocolate Shavings","","","","","","","","",49,50
"12","Affinity","Scotch Whiskey:25.0","Sweet Vermouth:12.5","Dry Vermouth:12.5","Orange Bitters:2.0(dash)","","","","","","","","",33,52
"13","Agave Kiss","Silver Tequila:50.0","White Crème de Cacao:25.0","Double Cream:25.0","Chambord:12.5","White Chocolate flakes","Raspberries","","","","","","",31.6,112
"14","Agent Orange","Vodka:25.0","Carrot Juice:75.0","","","","","","","","","","",9.9,100
"17","Alabazam","Brandy:50.0","Orange Curacao:12.5","Angostura Bitters:2.0(dash)","Lemon Juice:20.0","Simple Syrup:12.5","Soda Water:50.0","","","","","","",22.5,147
"18","Alaska Cocktail","Gin:37.5","Yellow Chartreuse:20.0","3 drops Orange Bitters","Orange Zest Twist","","","","","","","","",39.3,58
"19","Alaskan Iced Tea","Gin:15.0","Vodka:15.0","Tequila:15.0","White Rum:15.0","Triple Sec:15.0","Lemon Juice:25.0","Gomme syrup:30.0","Blue Curacao:1.0(splash)","","","","",23.6,136
"20","Alcoholic Dr.Pepper","Beer:250.0","Cola:250.0","Amaretto:25.0","","","","","","","","","",3.5,525
"21","Alexander","Gin:25.0","Crème de Cacao:25.0","Half & Half:25.0","grated Nutmeg","","","","","","","","",22.7,75
"22","Algonquin","Rye Whiskey:37.5","Dry Vermouth:20.0","Pineapple Juice:20.0","","","","","","","","","",34.6,78
"24","Amaretto Colada","Amaretto:30.0","Coconut Cream:30.0","Pineapple Juice:90.0","1 Pineapple Slice","","","","","","","","",5.6,150
"25","Amaretto Sour","Amaretto:50.0","Lemon Juice:25.0","Simple Syrup:12.5","Egg-White:1.0(dash)","Angostura Bitters:1.0(dash)","Lemon Zest","","","","","","",16,89
